modelCode,sizeRaw,plyRatingPr,pressureSingleKpa,pressureDualKpa,maxLoadSingleLb,maxLoadDualLb,loadIndexSingle,loadIndexDual,speedSymbol,overallDiameterMm,sectionWidthMm,standardRimIn,sourcePage
DLA968,315/80R22.5,20,850,850,4000,3350,156,150,L,1076,312,9.00,4
DLA968,315/70R22.5,18,900,900,4000,3350,156,150,L,1014,312,9.00,4
DLD816,315/70R22.5,18,900,900,3750,3350,154,150,L,1014,312,9.00,4
DLD816,315/80R22.5,20,850,850,4000,3350,156,150,L,1076,312,9.00,4
DSR08A,315/70R22.5,18,900,900,3750,3350,154,150,L,1014,312,9.00,4
DSR08A,315/80R22.5,20,850,850,4000,3350,156,150,L,1076,312,9.00,4
DSR266,315/70R22.5,18,900,900,3750,3350,154,150,L,1014,312,9.00,4
DSR266,315/80R22.5,20,850,850,4000,3350,156,150,L,1076,312,9.00,4
DLS918,295/80R22.5,18,900,900,3550,3250,152,149,L,1044,298,9.00,5
DSR566,295/80R22.5,18,850,850,3750,3550,154,152,M,1044,298,9.00,5
DMS100,385/65R22.5,24,900,,5000,,164,,K,1072,389,11.75,5
DSR118,385/65R22.5,20,900,,4450,,160,,K,1072,389,11.75,5
DLD815,275/70R22.5,18,900,900,3550,3150,152,148,J,958,276,8.25,6
D930,315/70R22.5,18,900,900,3750,3350,154,150,L,1020,312,9.00,6
D530,13R22.5,20,930,930,4000,3350,156,150,G,1124,320,9.75,7
FIO628,13R22.5,20,875,875,4000,3350,156,150,G,1124,320,9.75,7
DMA808,315/80R22.5,22,900,900,4250,4000,158,156,L,1076,312,9.00,7
DSRD22,315/80R22.5,22,900,900,4250,4000,158,156,K,1076,312,9.00,7
DMA100,325/95R24,22,850,850,4750,4500,162,160,K,1228,312,9.00,8
DSR830,12.00R20,22,960,960,4250,3875,158,155,B,1125,315,8.50,8
TAX106,445/45R19.5,20,900,,4500,,160,,J,895,446,15.00,9
TAX106,435/50R19.5,20,900,,4500,,160,,J,931,438,14.00,9
DSR158,12.00R20,20,900,900,4000,3650,156,153,J,1125,315,8.50,9
DSR188,12.00R20,20,900,900,4000,3650,156,153,K,1125,315,8.50,9
